model,scenario,region,variable,unit,year,value
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.266
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2030,1932.08100038216
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2040,2482.4440012382
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2050,3007.53400243409
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2060,3518.12600395376
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2070,4007.49500567832
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2080,4438.63900732185
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2090,4790.73400873098
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2100,5049.74500984626
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.29071436526
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1915.59726809371
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2040,2495.3620270555
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2050,2947.78687418527
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2060,3214.03184862664
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2070,3379.40395748287
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2080,3483.19109777056
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2090,3541.19696400964
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2100,3632.6056004411
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.266
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1906.43496278657
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2040,2461.19339252149
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2050,2892.41454012054
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2060,2781.17834519321
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2070,2920.67836189225
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2080,3004.26005767982
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2090,3031.34020569908
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2100,3108.93322738738
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.29071436526
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1627.10966084498
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2040,1856.76052131596
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2050,2073.05128287519
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2060,2252.05681741683
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2070,2385.07899559913
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2080,2469.11379454991
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2090,2499.91742897039
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2100,2565.27252866701
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.29071436526
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1501.58148796173
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2040,1652.76389676708
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2050,1796.48269784734
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2060,1927.69330756952
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2070,2062.12094651887
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2080,2271.03472747505
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2090,2042.02056121129
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2100,2091.97780288408
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.29071436526
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1337.7342242404
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2040,1314.86444014179
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2050,1470.3750048862
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2060,1657.07108244773
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2070,1533.19132628764
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2080,1563.10708034514
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2090,1556.66972391171
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2100,1599.45094254604
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.38219379911
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2030,838.285935243524
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2040,850.108328724085
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2050,933.153766461896
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2060,994.730589096791
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2070,1034.00330825912
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2080,1041.94504225417
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2090,1003.78871661135
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2100,1078.38421869279
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1369.38219379911
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2030,633.224670520684
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2040,464.256207215761
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2050,510.217014467552
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2060,539.624516915379
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2070,568.201382998411
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2080,560.345135909018
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2090,525.992693116208
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2100,552.092150579429
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2020,866.988038294726
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2030,1516.67007604314
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2040,2005.81688768546
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2050,2452.39503583321
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2060,2868.50883455504
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2070,3216.60247309359
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2080,3486.37588569422
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2090,3716.44752251883
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2100,3936.97750357321
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2020,867.002232905543
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2030,1485.27843519069
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2040,1977.61058123465
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2050,2421.02847164528
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2060,2691.92442409562
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2070,2854.94751451573
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2080,2961.10850180799
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2090,3003.77769164094
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2100,2970.91937409778
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2020,867.002232905543
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2030,1461.42287421754
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2040,1929.42896198422
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2050,2117.08823928502
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2060,2302.02358483641
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2070,2442.45693192131
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2080,2534.19873890287
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2090,2571.74938229923
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2100,2543.8066414797
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2020,867.002232905543
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2030,1294.06893324826
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2040,1494.24223829511
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2050,1684.36532357966
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2060,1856.60261674155
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2070,1989.20803032756
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2080,2078.30394329478
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2090,2119.98878220879
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2100,2098.25102842231
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2020,867.002232905543
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2030,1183.36032898509
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2040,1315.46753756598
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2050,1442.37052277855
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2060,1558.46473637984
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2070,1646.13588389281
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2080,1702.58169119542
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2090,1723.79890954325
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2100,1704.58331556785
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2020,867.002232905543
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2030,887.55223447668
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2040,986.636211938569
