model,scenario,region,variable,unit,year,value
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2050,1081.81688119747
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2060,1168.89067957295
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2070,1234.64641007046
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2080,1276.98229134958
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2090,1292.89577863884
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2100,1278.48356373535
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2020,867.002232905543
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2030,755.355037417583
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2040,657.804524343764
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2050,721.26284272994
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2060,779.316193934953
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2070,823.15648329323
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2080,851.382423017055
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2090,861.992173409694
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2100,852.383342865413
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2020,867.002232905543
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2030,608.29159181116
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2040,328.968261443157
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2050,360.703787577505
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2060,389.736287826594
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2070,411.660831118151
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2080,425.776632963398
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2090,431.082572664096
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2100,426.277193312522
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2030,5.18663172056623
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2040,5.95440459916483
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2050,6.62940854372001
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2060,7.18297221862116
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2070,7.65588936034533
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2080,8.06274972160231
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2090,8.32269231482938
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2100,8.39718155206074
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2030,4.89805527118913
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2040,5.93375958372045
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2050,6.54726915652211
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2060,6.72747774045832
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2070,6.67848817287115
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2080,6.47997646809385
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2090,6.32374129609567
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2100,6.25791318867843
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2030,4.80798297402188
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2040,5.74147656081858
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2050,6.1200497580409
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2060,5.81071218611473
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2070,5.68416705941783
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2080,5.59254975895376
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2090,5.3927511809826
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2100,5.34386160385265
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2030,4.20158002678723
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2040,4.46608268151323
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2050,4.73016378785956
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2060,4.83194921911753
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2070,4.8340684423619
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2080,4.75698610451792
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2090,4.62371512186164
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2100,4.57884307547512
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2030,3.91064250133723
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2040,4.02939083240959
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2050,4.10438873669969
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2060,4.12746342698063
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2070,4.15787800276838
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2080,4.22932843226766
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2090,3.81206297108131
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Useful Energy,EJ/yr,2100,3.77667761720173
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2030,3.63450425266203
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2040,3.33270631450829
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2050,3.45993345366188
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2060,3.58955863196875
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2070,3.22328498206065
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2080,3.05098966270137
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2090,2.92688819963915
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Useful Energy,EJ/yr,2100,2.9438097448968
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2030,2.65856277645952
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2040,2.26185443424551
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2050,2.2500719265439
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2060,2.21233252563559
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2070,2.23142176797642
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2080,2.117981235591
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2090,1.9752409378148
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Useful Energy,EJ/yr,2100,2.05146732442985
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2020,4.28118249909331
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2030,2.19872800321628
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2040,1.36417093087275
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2050,1.32484104681716
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2060,1.27649260293378
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2070,1.26856541253484
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2080,1.22009392010346
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2090,1.1079182082116
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Useful Energy,EJ/yr,2100,1.1293978700517
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2020,497
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2030,566.279322492536
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2040,655.489978387004
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2050,714.410235046029
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2060,764.726163766362
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2070,823.896810017609
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2080,874.653106417591
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2090,906.975936888868
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2100,916.23837665577
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2020,497
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2030,529.393061357952
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2040,648.738387690968
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2050,697.556575492266
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2060,694.068531459287
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2070,685.039035121973
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2080,685.460246109899
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2090,652.146669502852
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2100,644.281943571598
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2020,497
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2030,535.316036099939
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2040,628.27405137298
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2050,612.544935969245
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2060,592.15359796866
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2070,610.371986073638
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2080,575.719666098538
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2090,559.749003552244
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2100,551.770496810426
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2020,497
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2030,455.099939166986
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2040,475.28947525613
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2050,476.275129538923
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2060,474.602184459718
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2070,478.031836345635
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2080,462.58279896522
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2090,446.767113476265
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2100,442.548332908575
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2020,497
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2030,456.268316334356
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2040,431.202798942285
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2050,418.747497295988
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GHG emissions,Mt CO2-equiv/yr,2060,402.262343205088
