model,scenario,region,variable,unit,year,value,MOD.SCEN
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2040,1.797454543179696,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2050,2.112383233148665,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2060,2.0311454057817913,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2070,2.1330248190579844,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2080,2.1940660599765276,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2090,2.2138431872982167,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2100,2.2705107900052877,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1.188286492981319,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2040,1.3560016889303659,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2050,1.5139599364304173,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2060,1.6446885922693046,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2070,1.7418353681780003,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2080,1.8032064109150678,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2090,1.825702462408968,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,GDP (PPP),billion 2005USD,2100,1.8734316254062615,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1.0966126274052723,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2040,1.2070219124601491,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2050,1.3119804866858433,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2060,1.4078042648986409,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2070,1.505977455981489,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2080,1.6585482568818828,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2090,1.49129804196319,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,GDP (PPP),billion 2005USD,2100,1.5277820706275835,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2030,0.9769541341412745,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2040,0.9602522140459416,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2050,1.073822373481732,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2060,1.2101674721542763,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2070,1.1196974537276088,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2080,1.1415450816591013,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2090,1.1368438473880327,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,GDP (PPP),billion 2005USD,2100,1.1680871897882341,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2030,0.6121636012498799,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2040,0.6207969787934872,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2050,0.6814414344566765,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2060,0.7264082982831009,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2070,0.755087449611463,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2080,0.7608869510443076,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2090,0.7330230531379371,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,GDP (PPP),billion 2005USD,2100,0.7874968898938307,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2030,0.46241631692603913,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2040,0.3390260289041468,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2050,0.37258919882114483,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2060,0.39406421330650265,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2070,0.41493265033776744,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2080,0.4091955762579613,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2090,0.38410948783913557,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,GDP (PPP),billion 2005USD,2100,0.40316878157130587,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2030,1.749355249498332,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2040,2.3135462072010706,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2050,2.8286376830028845,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2060,3.308591016084944,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2070,3.710088641384612,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2080,4.021250273015938,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2090,4.2866191439373145,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Consumption,billion 2005USD,2100,4.540982493042037,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2030,1.7131195039869132,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2040,2.2809751880421096,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2050,2.7924131908308976,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2060,3.104864465082521,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2070,3.292895226980075,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2080,3.4153412637526537,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2090,3.4645558888291714,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Consumption,billion 2005USD,2100,3.426657119603349,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2030,1.6856045102905257,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2040,2.225402529262488,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2050,2.441848658440156,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2060,2.6551530059175845,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2070,2.817128767634221,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2080,2.922943728080297,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2090,2.9662546239133083,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Consumption,billion 2005USD,2100,2.934025478751955,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2030,1.4925785472449233,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2040,1.7234583506060044,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2050,1.9427462348452407,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2060,2.141404654195188,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2070,2.294351680803892,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2080,2.3971148682395658,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2090,2.4451941433924262,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Consumption,billion 2005USD,2100,2.420121827588081,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2030,1.3648872910273269,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2040,1.5172596881988605,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2050,1.6636295363909304,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2060,1.7975325520870133,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2070,1.8986524156647138,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2080,1.9637569853651238,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2090,1.9882289158199342,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-40k-fossil,AUS,Consumption,billion 2005USD,2100,1.966065658049532,MESSAGEix-Australia_SSP2-40k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2030,1.0237023629134943,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2040,1.1379857796122421,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2050,1.2477671223198916,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2060,1.348198003661078,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2070,1.4240406347430603,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2080,1.4728708218779212,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2090,1.491225431226423,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-30k-fossil,AUS,Consumption,billion 2005USD,2100,1.4746023887975803,MESSAGEix-Australia_SSP2-30k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2030,0.8712261730701638,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2040,0.7587114535325881,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2050,0.8319042504801936,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2060,0.8988629606215293,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2070,0.9494283313834443,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2080,0.981984118038379,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2090,0.9942213995469665,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-20k-fossil,AUS,Consumption,billion 2005USD,2100,0.9831385785580524,MESSAGEix-Australia_SSP2-20k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2030,0.701603258589798,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2040,0.37943185029720333,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2050,0.41603559239829835,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2060,0.4495216656138121,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2070,0.4748094243524285,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2080,0.49109058408824763,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2090,0.49721045264143054,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-10k-fossil,AUS,Consumption,billion 2005USD,2100,0.4916679301781723,MESSAGEix-Australia_SSP2-10k-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2020,1,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2030,1.2114951235236247,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2040,1.3908317621184996,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2050,1.5484994029392625,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2060,1.6778009860926053,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2070,1.7882651258073516,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2080,1.883299701264751,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2090,1.9440171767010637,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,Useful Energy,EJ/yr,2100,1.9614163969508742,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2020,1,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2030,1.1440893426585912,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2040,1.3860094926990687,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2050,1.5293132581731153,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2060,1.5714064377968233,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2070,1.559963438672739,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2080,1.5135950101324134,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2090,1.477101547863223,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,Useful Energy,EJ/yr,2100,1.4617253971312274,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2020,1,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2030,1.1230502262027229,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2040,1.3410959616962224,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2050,1.4295232121819228,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2060,1.3572680415621974,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2070,1.3277095897270559,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2080,1.3063095908988178,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2090,1.2596405740994931,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,Useful Energy,EJ/yr,2100,1.2482209307789143,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2020,1,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2030,0.9814064286390645,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2040,1.0431890447228258,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2050,1.1048731953990136,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2060,1.1286482695238673,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2070,1.129143278378271,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2080,1.1111383608443177,MESSAGEix-Australia_SSP2-50k-fossil
MESSAGEix-Australia,SSP2-50k-fossil,AUS,Useful Energy,EJ/yr,2090,1.0800088813875308,MESSAGEix-Australia_SSP2-50k-fossil
