model,scenario,region,variable,unit,year,value,MOD.SCEN
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2030,1.4110340871548406,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2040,1.8129742513421059,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2050,2.196457081702233,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2060,2.569351757769316,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2070,2.9267468889743262,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2080,3.2416192378411863,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2090,3.498760656242819,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-baseline-fossil,AUS,GDP (PPP),billion 2005USD,2100,3.6879211269733267,MESSAGEix-Australia_SSP2-baseline-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1.3989704655097237,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2040,1.8223756291316375,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2050,2.1527838049728745,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2060,2.347223869196043,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2070,2.467995964647584,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2080,2.543792243114134,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2090,2.5861542233938066,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-70k-fossil,AUS,GDP (PPP),billion 2005USD,2100,2.6529104172922167,MESSAGEix-Australia_SSP2-70k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2020,1,MESSAGEix-Australia_SSP2-60k-fossil
MESSAGEix-Australia,SSP2-60k-fossil,AUS,GDP (PPP),billion 2005USD,2030,1.392304316901588,MESSAGEix-Australia_SSP2-60k-fossil
