year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1901,15.6,1.6,0.835,0.827,27.2
1902,15.6,1.61,0.85,0.832,27.7
1903,15.4,1.58,0.865,0.838,28.3
1904,15.8,1.62,0.88,0.843,28.9
1905,16.4,1.69,0.895,0.848,29.4
1906,19.3,2.02,0.91,0.854,30.1
1907,20.7,2.18,0.924,0.859,30.7
1908,22.2,2.36,0.939,0.865,31.2
1909,19.6,2.05,0.954,0.87,31.8
1910,23.2,2.48,0.969,0.876,32.3
1911,25.4,2.74,0.99,0.881,32.9
1912,27.4,2.96,1.01,0.887,33.6
1913,29.4,3.18,1.03,0.892,34.2
1914,31.9,3.48,1.05,0.898,34.9
1915,28.7,3.1,1.07,0.903,35.5
1916,25.6,2.75,1.09,0.909,36.1
1917,27.5,2.96,1.11,0.914,36.7
1918,30.2,3.27,1.13,0.92,37.4
1919,28.7,3.1,1.15,0.925,38.0
1920,33.6,3.67,1.18,0.931,38.6
1921,30.5,3.31,1.2,0.936,39.3
1922,32.0,3.51,1.22,0.942,40.0
1923,32.6,3.62,1.24,0.947,40.7
1924,35.3,3.99,1.26,0.952,41.4
1925,36.8,4.21,1.28,0.958,42.1
1926,36.3,4.21,1.3,0.963,42.8
1927,37.6,4.41,1.33,0.969,43.5
1928,34.0,4.64,1.35,0.974,44.2
1929,30.9,4.28,1.37,0.98,44.9
1930,28.9,4.06,1.39,0.985,45.5
1931,26.1,3.51,1.41,0.991,46.0
1932,27.2,3.54,1.42,0.996,46.4
1933,28.7,3.78,1.44,1.0,46.9
1934,30.0,4.02,1.46,1.01,47.4
1935,33.0,4.49,1.47,1.01,47.8
1936,35.2,4.84,1.49,1.02,48.2
1937,37.4,5.17,1.51,1.02,48.6
1938,36.7,4.81,1.52,1.03,49.0
1939,41.5,5.65,1.54,1.03,49.4
1940,37.7,5.26,1.56,1.04,49.8
1941,44.5,6.06,1.76,1.05,50.6
1942,47.0,6.29,1.96,1.05,51.4
1943,45.3,6.0,2.17,1.06,52.4
1944,44.4,5.97,2.39,1.06,53.5
1945,42.4,5.97,2.65,1.07,54.6
1946,45.7,6.4,2.92,1.07,55.8
1947,48.8,6.91,3.2,1.08,56.9
1948,49.3,7.09,3.49,1.08,58.0
1949,48.4,7.04,3.78,1.09,58.9
1950,67.1,8.29,4.09,1.09,59.8
1951,72.0,8.58,4.48,1.1,61.4
1952,73.3,8.83,4.87,1.11,62.8
1953,72.7,9.18,5.27,1.11,64.1
1954,81.7,9.91,5.68,1.12,65.5
1955,84.6,10.0,6.12,1.12,66.8
1956,87.0,10.2,6.58,1.13,68.3
1957,88.5,10.5,7.07,1.13,69.7
1958,91.9,10.8,7.59,1.14,71.3
1959,98.8,11.5,8.12,1.14,72.8
1960,104.0,12.0,8.67,1.15,74.2
1961,106.0,12.3,9.24,1.16,76.4
1962,111.0,12.7,9.83,1.16,79.0
1963,118.0,13.3,10.4,1.17,80.1
1964,126.0,14.4,11.1,1.17,82.2
1965,139.0,15.3,11.8,1.18,83.1
1966,138.0,15.4,12.6,1.18,78.6
1967,148.0,16.2,13.4,1.19,80.7
1968,154.0,16.7,14.3,1.19,83.1
1969,162.0,17.3,15.2,1.2,87.2
1970,168.0,17.3,15.0,1.4,90.3
1971,172.0,17.9,15.2,1.42,92.0
1972,181.0,16.9,15.5,1.43,97.7
1973,195.0,17.7,15.7,1.52,91.5
1974,194.0,17.8,15.9,1.59,96.1
1975,194.0,17.6,16.1,1.61,102.0
1976,192.0,17.3,16.4,1.63,106.0
1977,207.0,17.0,16.6,1.74,99.3
1978,221.0,17.5,16.8,1.75,90.9
1979,225.0,18.1,17.0,1.78,91.5
1980,239.0,17.6,17.2,1.85,91.7
1981,251.0,18.7,17.4,1.86,83.4
1982,255.0,17.0,17.6,1.89,87.4
1983,254.0,15.3,17.9,1.83,79.7
1984,265.0,18.2,18.1,1.87,80.7
1985,267.0,20.7,18.4,1.92,89.3
1986,268.0,20.6,18.7,1.91,86.4
1987,285.0,21.1,19.1,1.95,81.5
1988,287.0,22.8,19.4,2.0,82.3
1989,307.0,24.8,19.7,2.07,85.9
1990,293.0,26.0,20.0,2.11,84.9
1991,295.0,25.2,20.0,2.07,84.1
1992,301.0,25.8,19.8,2.11,81.3
1993,304.0,25.5,19.6,2.17,79.3
1994,305.0,25.5,18.9,2.21,79.4
1995,317.0,25.2,18.9,2.24,75.9
1996,324.0,24.8,17.2,2.26,78.0
1997,335.0,25.0,17.0,2.16,79.3
1998,348.0,26.2,16.1,2.14,79.1
1999,354.0,26.8,16.2,2.1,79.1
2000,363.0,26.6,15.7,2.03,82.3
2001,371.0,27.8,15.9,2.05,81.2
2002,374.0,28.4,16.0,2.05,81.1
2003,379.0,31.1,14.9,1.95,75.6
2004,392.0,32.5,14.5,1.99,79.1
2005,398.0,31.9,14.4,1.98,79.8
2006,404.0,31.7,14.2,1.98,78.2
2007,412.0,33.8,14.5,2.01,74.3
2008,417.0,33.3,15.0,2.05,71.8
2009,422.0,31.4,14.9,2.06,72.2
2010,417.0,33.7,15.2,2.07,69.8
2011,414.0,34.4,14.6,2.07,74.3
2012,420.0,31.2,13.1,2.08,75.8
2013,413.0,29.2,12.5,2.09,76.0
2014,407.0,29.1,12.6,2.05,76.4
2015,417.0,30.5,12.1,2.11,73.6
2016,427.0,30.3,12.6,2.12,72.6
2017,429.0,30.8,12.7,2.1,76.6
2018,431.0,31.6,12.6,2.09,75.2
2019,430.0,32.7,12.4,2.13,69.8
