year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.0,1.65e-17,0.0
1751,0.0,0.0,0.0,0.00547,0.0
1752,0.0,0.0,0.0,0.0109,0.0
1753,0.0,0.0,0.0,0.016399999999999998,0.0
1754,0.0,0.0,0.0,0.0219,0.0
1755,0.0,0.0,0.0,0.027399999999999997,0.0
1756,0.0,0.0,0.0,0.032799999999999996,0.0
1757,0.0,0.0,0.0,0.038299999999999994,0.0
1758,0.0,0.0,0.0,0.0438,0.0
1759,0.0,0.0,0.0,0.0493,0.0
1760,0.0,0.0,0.0,0.054700000000000006,0.0
1761,0.0,0.0,0.0,0.060200000000000004,0.0
1762,0.0,0.0,0.0,0.06570000000000001,0.0
1763,0.0,0.0,0.0,0.0712,0.0
1764,0.0,0.0,0.0,0.07659999999999999,0.0
1765,0.0,0.0,0.0,0.08209999999999999,0.0
1766,0.0,0.0,0.0,0.0876,0.0
1767,0.0,0.0,0.0,0.09309999999999999,0.0
1768,0.0,0.0,0.0,0.0985,0.0
1769,0.0,0.0,0.0,0.104,0.0
1770,0.0,0.0,0.0,0.109,0.0
1771,0.0,0.0,0.0,0.115,0.0
1772,0.0,0.0,0.0,0.12,0.0
1773,0.0,0.0,0.0,0.126,0.0
1774,0.0,0.0,0.0,0.131,0.0
1775,0.0,0.0,0.0,0.137,0.0
1776,0.0,0.0,0.0,0.142,0.0
1777,0.0,0.0,0.0,0.148,0.0
1778,0.0,0.0,0.0,0.153,0.0
1779,0.0,0.0,0.0,0.159,0.0
1780,0.0,0.0,0.0,0.164,0.0
1781,3.18e-05,0.0,1.3e-05,0.17,0.0005719999999999999
1782,6.35e-05,0.0,2.61e-05,0.175,0.00114
1783,9.510000000000001e-05,0.0,3.91e-05,0.181,0.00172
1784,0.000127,0.0,5.21e-05,0.186,0.00229
1785,0.000158,0.0,6.52e-05,0.192,0.0028599999999999997
1786,0.00019,0.0,7.82e-05,0.197,0.0034300000000000003
1787,0.000221,0.0,9.120000000000001e-05,0.203,0.004
1788,0.000252,0.0,0.000104,0.208,0.00458
1789,0.00028399999999999996,0.0,0.00011700000000000001,0.213,0.00515
1790,0.000315,0.0,0.00013000000000000002,0.219,0.005719999999999999
1791,0.00038700000000000003,0.0,0.00016,0.224,0.00704
1792,0.00045900000000000004,0.0,0.00019,0.23,0.00836
1793,0.000531,0.0,0.00022,0.235,0.00967
1794,0.000602,0.0,0.00025,0.241,0.011
1795,0.000674,0.0,0.00028000000000000003,0.246,0.0123
1796,0.000745,0.0,0.00031,0.252,0.0136
1797,0.000816,0.0,0.00034,0.257,0.0149
1798,0.000887,0.0,0.00037,0.263,0.016300000000000002
1799,0.000958,0.0,0.0004,0.268,0.0176
1800,0.00103,0.0,0.00043,0.274,0.0189
1801,0.00127,0.0,0.00053,0.279,0.0233
1802,0.0015,0.0,0.00063,0.285,0.0277
1803,0.00174,0.0,0.00073,0.29,0.032100000000000004
1804,0.00197,0.0,0.00083,0.296,0.0364
1805,0.00221,0.0,0.00093,0.301,0.040799999999999996
1806,0.00244,0.0,0.00103,0.307,0.045200000000000004
1807,0.00267,0.0,0.00113,0.312,0.0496
1808,0.0029100000000000003,0.0,0.00123,0.317,0.054
1809,0.00314,0.0,0.00133,0.323,0.0584
1810,0.00337,0.0,0.0014299999999999998,0.328,0.0628
1811,0.004200000000000001,0.0,0.0017800000000000001,0.334,0.0782
1812,0.005019999999999999,0.0,0.00214,0.339,0.0937
1813,0.00584,0.0,0.00249,0.345,0.109
1814,0.00666,0.0,0.0028399999999999996,0.35,0.125
1815,0.00747,0.0,0.00319,0.356,0.14
1816,0.008289999999999999,0.0,0.0035499999999999998,0.361,0.156
1817,0.0091,0.0,0.0039,0.367,0.171
1818,0.00991,0.0,0.00425,0.372,0.187
1819,0.0107,0.0,0.00461,0.378,0.202
1820,0.0115,0.0,0.00496,0.383,0.218
1821,0.0141,0.0,0.0060999999999999995,0.389,0.268
1822,0.016800000000000002,0.0,0.00724,0.394,0.318
1823,0.019399999999999997,0.0,0.00839,0.4,0.368
1824,0.022,0.0,0.009529999999999999,0.405,0.418
1825,0.0245,0.0,0.0107,0.411,0.468
1826,0.027100000000000003,0.0,0.011800000000000001,0.416,0.519
1827,0.0297,0.0,0.013,0.422,0.569
1828,0.0322,0.0,0.0141,0.427,0.619
1829,0.0348,0.0,0.0152,0.432,0.669
1830,0.0373,0.0,0.016399999999999998,0.438,0.719
1831,0.0427,0.0,0.0188,0.443,0.825
1832,0.048100000000000004,0.0,0.0212,0.449,0.931
1833,0.0535,0.0,0.023600000000000003,0.454,1.04
1834,0.0588,0.0,0.026,0.46,1.14
1835,0.06409999999999999,0.0,0.0285,0.465,1.25
1836,0.0694,0.0,0.030899999999999997,0.471,1.36
1837,0.0747,0.0,0.033299999999999996,0.476,1.46
1838,0.0799,0.0,0.0357,0.482,1.57
1839,0.0852,0.0,0.0381,0.487,1.67
1840,0.09040000000000001,0.0,0.0405,0.493,1.78
1841,0.107,0.0,0.048,0.498,2.11
1842,0.123,0.0,0.0555,0.504,2.44
1843,0.139,0.0,0.063,0.509,2.76
1844,0.155,0.0,0.0704,0.515,3.09
1845,0.171,0.0,0.07790000000000001,0.52,3.42
1846,0.187,0.0,0.0854,0.526,3.75
1847,0.203,0.0,0.09290000000000001,0.531,4.08
1848,0.219,0.0,0.1,0.536,4.4
1849,0.235,0.0,0.108,0.542,4.73
1850,0.312,0.0013700000000000001,0.112,0.547,4.77
1851,0.35,0.00531,0.126,0.553,5.21
1852,0.388,0.00924,0.14,0.558,5.65
1853,0.426,0.0132,0.153,0.564,6.08
1854,0.464,0.0171,0.167,0.569,6.52
1855,0.501,0.021,0.181,0.575,6.95
1856,0.539,0.025,0.194,0.58,7.38
1857,0.577,0.0289,0.208,0.586,7.8
1858,0.614,0.032799999999999996,0.221,0.591,8.22
1859,0.65,0.0368,0.235,0.597,8.64
1860,0.942,0.0407,0.248,0.602,9.04
1861,1.24,0.0733,0.26,0.608,9.42
1862,1.07,0.0516,0.273,0.613,9.79
1863,1.15,0.0578,0.285,0.619,10.2
1864,1.01,0.0391,0.297,0.624,10.5
1865,1.23,0.060899999999999996,0.31,0.63,10.9
1866,1.59,0.0997,0.322,0.635,11.3
1867,1.84,0.128,0.334,0.64,11.6
1868,1.65,0.105,0.347,0.646,12.0
1869,1.58,0.09190000000000001,0.359,0.651,12.4
1870,1.55,0.0862,0.371,0.657,12.8
1871,1.67,0.0992,0.383,0.662,13.1
1872,1.71,0.101,0.395,0.668,13.6
1873,1.93,0.124,0.407,0.673,14.0
1874,1.99,0.127,0.42,0.679,14.5
1875,1.94,0.118,0.433,0.684,15.1
1876,2.09,0.133,0.447,0.69,15.6
1877,2.28,0.152,0.46,0.695,16.1
1878,2.19,0.138,0.472,0.701,16.6
1879,2.81,0.207,0.485,0.706,17.1
1880,3.76,0.313,0.497,0.712,17.5
1881,3.25,0.251,0.516,0.717,18.1
1882,3.58,0.285,0.535,0.723,18.7
1883,4.12,0.344,0.553,0.728,19.3
1884,4.34,0.365,0.572,0.734,19.9
1885,4.78,0.412,0.591,0.739,20.4
1886,4.79,0.409,0.61,0.744,21.0
1887,5.0,0.43,0.629,0.75,21.6
1888,5.64,0.5,0.647,0.755,22.2
1889,5.55,0.485,0.666,0.761,22.8
1890,5.74,0.502,0.685,0.766,23.8
1891,6.34,0.568,0.699,0.772,24.0
1892,6.54,0.588,0.712,0.777,24.2
1893,6.33,0.563,0.726,0.783,24.4
1894,6.83,0.62,0.739,0.788,24.7
1895,7.13,0.654,0.753,0.794,25.0
1896,7.05,0.643,0.766,0.799,25.3
1897,7.66,0.711,0.78,0.805,25.7
1898,8.46,0.803,0.794,0.81,26.0
1899,8.66,0.813,0.807,0.816,26.4
1900,14.0,1.43,0.821,0.821,26.8
