model,scenario,region,variable,unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5OECD90+EU,Final Energy,EJ/yr,,,,,,,,,,,,,135.2090624,,,,,132.1924301,137.5839813,,,,,,97.71056686,,73.48720681,,62.98421977,,62.20051665,,61.41653002,,61.38789021,,61.12185207,,59.82901563
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5OECD90+EU,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,41.64929566,,,,,39.62885347,41.16484446,,,,,,31.58274339,,23.19377337,,19.57683882,,19.85087881,,19.44054257,,19.41369517,,19.39607652,,19.2948213
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5OECD90+EU,Final Energy|Residential and Commercial,EJ/yr,,,,,,,,,,,,,49.02588389,,,,,46.42201097,48.85710883,,,,,,33.64097361,,25.32143379,,21.19831595,,20.9900427,,21.00517551,,21.52041239,,21.82065141,,21.19652901
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5OECD90+EU,Final Energy|Transportation,EJ/yr,,,,,,,,,,,,,44.53388284,,,,,46.14156567,47.56202799,,,,,,32.48684986,,24.97199964,,22.20906501,,21.35959513,,20.97081194,,20.45378265,,19.90512413,,19.33766531
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5OECD90+EU,Population,million,,,,,,,,,,,,,987.3899994,,,,,1015.595,1043.8,,,,,,1092.34,,1131.8,,1162.68,,1186.87,,1201.94,,1206.81,,1200.48,,1183
