region,year,dimension,grp,type,elec,DLE,unit.DLE
AUS,2050,education,primary,CON.new,total,0,EJ/year
AUS,2050,education,primary,CON.rep,total,0,EJ/year
AUS,2050,education,lower_secondary,OP,total,0.003942528,EJ/year
AUS,2050,education,lower_secondary,CON.new,total,0,EJ/year
AUS,2050,education,lower_secondary,CON.rep,total,0,EJ/year
AUS,2050,housing,rural,OP,total,0,EJ/year
AUS,2050,housing,rural,CON.new,total,0,EJ/year
AUS,2050,housing,rural,CON.rep,total,0.001710774,EJ/year
AUS,2050,housing,urban,OP,total,0,EJ/year
AUS,2050,housing,urban,CON.new,total,0.013911599,EJ/year
AUS,2050,housing,urban,CON.rep,total,0.028663384,EJ/year
AUS,2050,heating_con,rural,OP,total,0,EJ/year
AUS,2050,heating_con,rural,CON.new,total,0,EJ/year
AUS,2050,heating_con,rural,CON.rep,total,3.26E-05,EJ/year
AUS,2050,heating_con,urban,OP,total,0,EJ/year
AUS,2050,heating_con,urban,CON.new,total,1.65E-04,EJ/year
AUS,2050,heating_con,urban,CON.rep,total,5.51E-04,EJ/year
AUS,2050,cooling_con,rural,OP,total,0,EJ/year
AUS,2050,cooling_con,rural,CON.new,total,0,EJ/year
AUS,2050,cooling_con,rural,CON.rep,total,7.26E-05,EJ/year
AUS,2050,cooling_con,urban,OP,total,0,EJ/year
AUS,2050,cooling_con,urban,CON.new,total,1.51E-04,EJ/year
AUS,2050,cooling_con,urban,CON.rep,total,0.001229479,EJ/year
AUS,2050,heating_op,rural,OP,total,0.002810342,EJ/year
AUS,2050,heating_op,rural,CON.new,total,0,EJ/year
AUS,2050,heating_op,rural,CON.rep,total,0,EJ/year
AUS,2050,heating_op,urban,OP,total,0.042072692,EJ/year
AUS,2050,heating_op,urban,CON.new,total,0,EJ/year
AUS,2050,heating_op,urban,CON.rep,total,0,EJ/year
AUS,2050,cooling_op,rural,OP,total,1.12E-04,EJ/year
AUS,2050,cooling_op,rural,CON.new,total,0,EJ/year
AUS,2050,cooling_op,rural,CON.rep,total,0,EJ/year
AUS,2050,cooling_op,urban,OP,total,9.21E-04,EJ/year
AUS,2050,cooling_op,urban,CON.new,total,0,EJ/year
AUS,2050,cooling_op,urban,CON.rep,total,0,EJ/year
AUS,2050,roads,roads,OP,total,0,EJ/year
AUS,2050,roads,roads,CON.new,total,0,EJ/year
AUS,2050,roads,roads,CON.rep,total,0.065665982,EJ/year
AUS,2050,hotwater_op,rural,OP,total,0.005836396,EJ/year
AUS,2050,hotwater_op,rural,CON.new,total,0,EJ/year
AUS,2050,hotwater_op,rural,CON.rep,total,0,EJ/year
AUS,2050,hotwater_op,urban,OP,total,0.096622421,EJ/year
AUS,2050,hotwater_op,urban,CON.new,total,0,EJ/year
AUS,2050,hotwater_op,urban,CON.rep,total,0,EJ/year
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
